tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
imdb.com/title/tt15097216,9.4,185162,Jai Bhim,Jai Bhim,2021,164,"Crime,Drama,Mystery"
imdb.com/title/tt0252487,9.3,39990,The Chaos Class,Hababam Sinifi,1975,87,"Comedy,Drama"
imdb.com/title/tt0111161,9.3,2572812,The Shawshank Redemption,The Shawshank Redemption,1994,142,Drama
imdb.com/title/tt5354160,9.2,25759,Mirror Game,Aynabaji,2016,147,"Crime,Mystery,Thriller"
imdb.com/title/tt10189514,9.2,109309,Soorarai Pottru,Soorarai Pottru,2020,153,Drama
imdb.com/title/tt0068646,9.2,1771672,The Godfather,The Godfather,1972,175,"Crime,Drama"
imdb.com/title/tt2592910,9.1,45862,CM101MMXI Fundamentals,CM101MMXI Fundamentals,2013,139,"Comedy,Documentary"
imdb.com/title/tt0108052,9.0,1310584,Schindler's List,Schindler's List,1993,195,"Biography,Drama,History"
imdb.com/title/tt11989890,9.0,31104,David Attenborough: A Life on Our Planet,David Attenborough: A Life on Our Planet,2020,83,"Biography,Documentary"
imdb.com/title/tt0167260,9.0,1769721,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,201,"Action,Adventure,Drama"
imdb.com/title/tt0468569,9.0,2539302,The Dark Knight,The Dark Knight,2008,152,"Action,Crime,Drama"
imdb.com/title/tt0050083,9.0,759872,12 Angry Men,12 Angry Men,1957,96,"Crime,Drama"
imdb.com/title/tt0071562,9.0,1225156,The Godfather: Part II,The Godfather: Part II,1974,202,"Crime,Drama"
imdb.com/title/tt8178634,9.0,50705,RRR,RRR (Rise Roar Revolt),2022,187,"Action,Drama"
imdb.com/title/tt0110912,8.9,1974794,Pulp Fiction,Pulp Fiction,1994,154,"Crime,Drama"
imdb.com/title/tt0060196,8.8,739628,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",1966,161,"Adventure,Western"
imdb.com/title/tt1375666,8.8,2258111,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi"
imdb.com/title/tt0137523,8.8,2024737,Fight Club,Fight Club,1999,139,Drama
imdb.com/title/tt0109830,8.8,1984662,Forrest Gump,Forrest Gump,1994,142,"Drama,Romance"
imdb.com/title/tt0120737,8.8,1791318,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action,Adventure,Drama"
imdb.com/title/tt0167261,8.8,1598738,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,179,"Action,Adventure,Drama"
